TITLE_DL,ABSTRACT_DL,INTRODUCTION_DL,SECTIONS_DL,CONCLUSION_DL,TITLE_SL,ABSTRACT_SL,INTRODUCTION_SL,SECTIONS_SL,CONCLUSION_SL,TITLE_SxL,ABSTRACT_SxL,INTRODUCTION_SxL,SECTIONS_SxL,CONCLUSION_SxL,TITLE_RTTR,ABSTRACT_RTTR,INTRODUCTION_RTTR,SECTIONS_RTTR,CONCLUSION_RTTR,TITLE_TTRC,ABSTRACT_TTRC,INTRODUCTION_TTRC,SECTIONS_TTRC,CONCLUSION_TTRC,TITLE_TTR,ABSTRACT_TTR,INTRODUCTION_TTR,SECTIONS_TTR,CONCLUSION_TTR,TIPO,ID,LABEL
0,0.485915493,0,0,0,0,0.884057971,0,0,0,0,0.260869565,0,0,0,0,7.393691004,0,0,0,0,5.228129047,0,0,0,0,0.666666667,0,0,0,train,104,1
0.857142857,0.46,0,0.278164182,0,0.666666667,0.695652174,0,0.592752568,0,0.833333333,0.304347826,0,0.217523893,0,2.645751311,6.28970902,0,7.03344045,0,1.870828693,4.4474959,0,4.973393437,0,1,0.659340659,0,0.417847481,0,train,105,1
0.833333333,0.458333333,0,0.317644671,0,0.9,0.761363636,0,0.627446895,0,0.6,0.227272727,0,0.22151015,0,3.31662479,6.985354731,0,6.600093431,0,2.34520788,4.9393917,0,4.666970821,0,1,0.542168675,0,0.467538175,0,train,107,1
0.571428571,0.434782609,0,0.308329614,0,1,0.875,0,0.622604729,0,0.5,0.425,0,0.215962789,0,2.449489743,5.927270039,0,6.484172601,0,1.732050808,4.191212839,0,4.585002416,0,1,0.65060241,0,0.46998376,0,train,108,0
0.888888889,0.567567568,0,0.335120739,0,0.75,0.825396825,0,0.643690339,0,0.375,0.26984127,0,0.254485268,0,3,7.716630855,0,5.669553359,0,2.121320344,5.456482005,0,4.008979626,0,1,0.783505155,0,0.540347826,0,train,117,1
0.833333333,0.476190476,0,0.332445441,0,0.8,0.7,0,0.640452369,0,0.4,0.25,0,0.235947716,0,3.175426481,6.989860945,0,5.704509952,0,2.245365598,4.942578074,0,4.03369767,0,0.916666667,0.588652482,0,0.533262399,0,train,12,0
0.714285714,0.455782313,0,0.327874801,0,0.8,0.865671642,0,0.631804169,0,0,0.298507463,0,0.230539774,0,2.236067977,8.318172876,0,5.866558847,0,1.58113883,5.881836448,0,4.148283543,0,1,0.744,0,0.519391688,0,train,122,1
0.5,0.51396648,0,0.325358929,0,0.75,0.826086957,0,0.625282621,0,0.75,0.402173913,0,0.232824144,0,2.449489743,8.380558826,0,5.921796571,0,1.732050808,5.925949976,0,4.187342512,0,1,0.675324675,0,0.510957176,0,train,128,0
0.785714286,0.472081218,0,0.323554161,0,0.818181818,0.817204301,0,0.626385792,0,0.545454545,0.35483871,0,0.235418913,0,3.741657387,8.434673235,0,6.060809833,0,2.645751311,5.964214641,0,4.285639733,0,1,0.652694611,0,0.509896169,0,train,130,1
0.714285714,0.484536082,0,0.321517839,0,1,0.872340426,0,0.627730656,0,0.4,0.276595745,0,0.234722635,0,2.449489743,5.661385171,0,6.161228765,0,1.732050808,4.003203845,0,4.35664664,0,1,0.641025641,0,0.505342924,0,train,134,1
0,0.47826087,0,0.32471435,0,0,0.727272727,0,0.636292852,0,0,0.333333333,0,0.238150168,0,0,5.715476066,0,6.237114171,0,0,4.041451884,0,4.410305725,0,0,0.777777778,0,0.510792728,0,train,145,1
0.75,0.449704142,0,0.324518299,0,0.666666667,0.763157895,0,0.635476337,0,0.333333333,0.315789474,0,0.235559499,0,2.645751311,7.224956747,0,6.265464559,0,1.870828693,5.10881591,0,4.430352477,0,1,0.6,0,0.510941022,0,train,150,0
0.909090909,0.5,0,0.325387142,0,0.7,0.755555556,0,0.633880213,0,0.6,0.4,0,0.237100437,0,3.31662479,7.020117612,0,6.256199154,0,2.34520788,4.963972768,0,4.423800846,0,1,0.794871795,0,0.512398743,0,train,16,1
0.727272727,0.457142857,0,0.325142822,0,1,0.916666667,0,0.637900996,0,0.625,0.208333333,0,0.239147021,0,3.015113446,6.776718457,0,6.377932461,0,2.132007164,4.791863575,0,4.509879293,0,0.909090909,0.706521739,0,0.516561372,0,train,169,1
0.4,0.556603774,0,0.322601114,0,1,0.915254237,0,0.637663353,0,0.25,0.305084746,0,0.237244341,0,2.645751311,7.246407156,0,6.356282982,0,1.870828693,5.123983639,0,4.4945708,0,1,0.739583333,0,0.51204762,0,train,178,0
0.666666667,0.461538462,0,0.32079479,0,0.75,0.648148148,0,0.632783393,0,0.25,0.240740741,0,0.234700406,0,2.236067977,7.537783614,0,6.359272578,0,1.58113883,5.330017909,0,4.496684763,0,1,0.757575758,0,0.508818257,0,train,18,1
0.615384615,0.445859873,0,0.320677798,0,0.875,0.728571429,0,0.636133392,0,0.375,0.342857143,0,0.23392311,0,3.31662479,7.77481583,0,6.459161839,0,2.34520788,5.497624996,0,4.567317137,0,1,0.671641791,0,0.509514674,0,train,180,0
0.777777778,0.421686747,0,0.321029121,0,1,0.942857143,0,0.640657956,0,0.714285714,0.485714286,0,0.237715052,0,3,6.334711629,0,6.448976734,0,2.121320344,4.47931755,0,4.56011518,0,1,0.757142857,0,0.512589539,0,train,182,0
